regime,nest_mu,method,toll,n_seeds,mean_n,W_exp,W_exp_lo,W_exp_hi,W_perc,W_perc_lo,W_perc_hi,TCS_exp,TCS_perc,R,suppression_rate,suppression_lo,suppression_hi,mean_vot_suppressed,mean_vot_travelled,spo_sec
elastic,0.3,mixed|d0340e0330h0330,0.5,29,2990.862068965517,-1.7517921228518474,-1.7623591163159187,-1.7422735326174348,-1.6120901461531654,-1.6213357147775962,-1.6034451256477393,-1.8989368024796804,-1.7592348257809984,0.1226205663565278,0.1935318420870998,0.18953407700022726,0.1984470937692068,11.600620612206663,20.874161481841508,8.5910178055472
elastic,0.3,mixed|d0600e0200h0200,0.0,30,2990.9,-1.7630939372029397,-1.7753241293249578,-1.7520704622600798,-1.6641805213592287,-1.676453381089454,-1.651810427066273,-1.7630939372029397,-1.6641805213592287,0.0,0.029691129829687374,0.026617935801433748,0.03288348915321163,18.781224247919855,19.066579275165488,17.49025102756279
elastic,0.3,mixed|d0600e0200h0200,0.17,30,2991.0,-1.7010111631031875,-1.7092400447166904,-1.6930027027154384,-1.5360304404450216,-1.5447772436283862,-1.526267932059806,-1.7856713222417968,-1.6206905995836318,0.07055013261550809,0.050484665105035166,0.04768651930988556,0.05346093530588287,12.403427333275118,19.418091175013902,16.05582604732908
elastic,0.3,mixed|d0600e0200h0200,0.28,28,2990.3214285714284,-1.708733572645594,-1.7178718074145731,-1.6992755441495897,-1.547596416024924,-1.5569641942148513,-1.537642620108853,-1.8257477727634548,-1.6646106161427845,0.09751183343155052,0.09021760571743502,0.08688268454783254,0.09355878736068365,11.373876562520136,19.821378769059343,12.88903098302755
elastic,0.3,mixed|d0600e0200h0200,0.5,30,2989.9666666666667,-1.771561997913473,-1.7835976384442471,-1.7591659877828105,-1.5872603009725985,-1.6010857867378254,-1.5747226040720779,-1.9181228976740037,-1.733821200733129,0.12213408313377556,0.17644885684441158,0.171687240727636,0.18115007721215498,11.887544285153243,20.647971521541002,10.206614634504083
elastic,0.7,davis_threshold,0.0,29,2989.9310344827586,-1.7417890310848718,-1.7530230618935325,-1.7300152938997944,-1.637170166578197,-1.6500484768443624,-1.6239594937672672,-1.7417890310848718,-1.637170166578197,0.0,0.02372318442139355,0.021631880656002238,0.02579412488076986,19.166702827798343,19.070759883537843,23.53858506838883
elastic,0.7,davis_threshold,0.17,30,2991.0,-1.7021933304318742,-1.714131000020362,-1.6899874763642537,-1.5240436769118164,-1.5373088469292349,-1.510910726438965,-1.7832163196261106,-1.6050666661060535,0.06751915766186398,0.050707115689364805,0.047602584367915785,0.05407537576838067,12.081072749612202,19.4267865473946,20.590145816372473
elastic,0.7,davis_threshold,0.28,30,2991.4,-1.7332941084027758,-1.7456136653018108,-1.7224341908728622,-1.5476858069230355,-1.564557464866369,-1.53126529180146,-1.8415687343869775,-1.6559604329072368,0.09022885498683458,0.10103356152552513,0.09635436674960356,0.10559730620693857,11.850530487561826,19.873560011591927,18.140867626522247
elastic,0.7,davis_threshold,0.5,29,2990.7241379310344,-1.7645821776165405,-1.7811944526543486,-1.7479617727973555,-1.5176904995113016,-1.5330399610711316,-1.5029373381648146,-1.91794160756482,-1.67104992945958,0.12779952495689895,0.1586126001386275,0.15125831910184548,0.16567530280374448,11.893813244430952,20.370775513218295,13.538613638963996
elastic,0.7,ema,0.0,29,2983.9655172413795,-1.8611776407294396,-1.8770199795500928,-1.8452797446500837,-1.300796213235708,-1.3182341330549694,-1.283819966032713,-1.8611776407294396,-1.300796213235708,0.0,0.03783108265156172,0.03370162037567506,0.04221054630015645,18.50414464115397,19.173024047427354,36.238261727238665
elastic,0.7,ema,0.17,30,2993.9333333333334,-1.8448881991980894,-1.8611728262792873,-1.8295534214961116,-1.2990474670044088,-1.3143470339976169,-1.2830859204933578,-1.9332668422120647,-1.3874261100183842,0.07364886917831286,0.07086112130743655,0.06634783673032128,0.07514691701129159,13.67833709725085,19.46945933383352,33.087108304581854
elastic,0.7,ema,0.28,30,2983.9,-1.817111479742392,-1.8321445539533772,-1.8029238322902805,-1.3234368970949564,-1.3398760563512286,-1.3070952131181168,-1.9538711948954102,-1.460196612247974,0.11396642929418183,0.08952630965912586,0.08415886312004105,0.0954586104228951,10.828926765086315,19.90559559561016,35.761483151967234
elastic,0.7,ema,0.5,30,3004.0,-1.7628324328822833,-1.7750301354386135,-1.7506262000499149,-1.4261836944772466,-1.4427950790243589,-1.4108801484406648,-1.9552474901562356,-1.618598751751199,0.16034588106162723,0.15975316161989664,0.15393185342667765,0.16533530950217734,9.38831182504839,20.908219482276646,25.363500330326712
elastic,0.7,mixed|d0200e0600h0200,0.0,30,2991.5,-1.7722165014265154,-1.7851752055848564,-1.758448641007971,-1.6612541690882636,-1.6772102244046485,-1.6444270429084409,-1.7722165014265154,-1.6612541690882636,0.0,0.030523566593675024,0.02821333251546779,0.03302196101122843,18.806580793022434,19.018698207608477,17.67854538595067
elastic,0.7,mixed|d0200e0600h0200,0.17,30,2990.9,-1.6966878657995088,-1.7097858473182623,-1.6840885353042774,-1.5374550534436602,-1.546355178707879,-1.5279160478395406,-1.7941395853913276,-1.6349067730354778,0.08120976632651503,0.04628429894005336,0.043812659221496526,0.048494610359390934,11.502873257319697,19.445963545205508,14.674230697956622
elastic,0.7,mixed|d0200e0600h0200,0.28,30,2991.1,-1.6891857604535938,-1.7003221838885032,-1.6777563484917066,-1.5214051306987495,-1.530379548132225,-1.5110836101366854,-1.822605001744848,-1.654824371990004,0.11118270107604537,0.07796357351794962,0.07527732450663178,0.08069464158907219,10.42235170423992,19.77891576791279,13.877622440119303
elastic,0.7,mixed|d0200e0600h0200,0.5,29,2991.551724137931,-1.7365415961377122,-1.7456084114686485,-1.7276418688593476,-1.5832587151978736,-1.5949315232629726,-1.5709197565030144,-1.8960796842397318,-1.7427968032998935,0.13294840675168287,0.1761646448344937,0.1697415273459602,0.1819504720511839,10.995054462926934,20.758242159327132,10.968953803107484
elastic,0.7,mixed|d0340e0330h0330,0.0,30,2991.0333333333333,-1.777586240797677,-1.7895558176017667,-1.7651298785522287,-1.7095775596292693,-1.7204361430568762,-1.6989616102919232,-1.777586240797677,-1.7095775596292693,0.0,0.03372175607799544,0.031038234582165296,0.03628882372605833,19.29026547882154,19.124258377257334,13.684653100956872
elastic,0.7,mixed|d0340e0330h0330,0.17,30,2991.0666666666666,-1.682017839034102,-1.6900502237167752,-1.673421064337947,-1.5556300517314436,-1.5658268321999862,-1.5473112147219976,-1.7754083976907387,-1.6490206103880807,0.07782546554719727,0.05148653106992266,0.049133615615099595,0.05381601840644439,12.34555521109484,19.40695410795326,11.715973847855354
