method,toll,d,e,h,pct,interaction,ci_lo,ci_hi,klass,mode,n
mixed|d0200e0000h0800,0.0,0.2,0.0,0.8,-0.6716353452966977,0.011607039274177939,-0.00540015662294127,0.02829031705331845,linear,paired,25
mixed|d0200e0000h0800,0.17,0.2,0.0,0.8,-0.48868170297260133,0.008268283475132754,-0.0042502331934303516,0.020435122825548713,linear,paired,28
mixed|d0200e0000h0800,0.28,0.2,0.0,0.8,-0.3361779826801928,0.005701633196569554,-0.006232125519997712,0.017765816384672176,linear,paired,28
mixed|d0200e0000h0800,0.5,0.2,0.0,0.8,0.018027149196785636,-0.00031443374036623786,-0.010977236627657067,0.009314239402585767,linear,paired,30
mixed|d0200e0200h0600,0.0,0.2,0.2,0.6,1.3626211229567375,-0.023936772263566393,-0.0444010619049285,-0.0036376890077639483,sub,paired,26
mixed|d0200e0200h0600,0.17,0.2,0.2,0.6,-2.3282453465709314,0.04017993590040052,0.028761350682628056,0.05312920421543316,super,paired,30
mixed|d0200e0200h0600,0.28,0.2,0.2,0.6,-1.7736009596478033,0.03062235901294384,0.01680247312314382,0.04398228251501556,super,paired,28
mixed|d0200e0200h0600,0.5,0.2,0.2,0.6,-0.49982450297222436,0.008756975177201712,-0.002978815948766329,0.020276948753395273,linear,paired,29
mixed|d0200e0400h0400,0.0,0.2,0.4,0.4,0.25917997927806274,-0.00462679429546722,-0.016778085877682137,0.00833331285076249,linear,paired,27
mixed|d0200e0400h0400,0.17,0.2,0.4,0.4,-5.120489522664348,0.09009828712528217,0.07813337147263329,0.10081139892727248,super,paired,31
mixed|d0200e0400h0400,0.28,0.2,0.4,0.4,-4.478705387450191,0.07869587572710258,0.06163003728880596,0.0936521118435961,super,paired,28
mixed|d0200e0400h0400,0.5,0.2,0.4,0.4,-1.2518547153005075,0.022030097220729808,0.00818326345793138,0.035724707252178814,super,paired,27
mixed|d0200e0800h0000,0.0,0.2,0.8,0.0,-1.2368930227011476,0.02278551554030432,0.005812797600260501,0.039150680257406964,super,paired,27
mixed|d0200e0800h0000,0.17,0.2,0.8,0.0,-3.135811148434895,0.05729663324614193,0.03716604527595046,0.07838675209246254,super,paired,26
mixed|d0200e0800h0000,0.28,0.2,0.8,0.0,-4.994678531496739,0.09081364562680966,0.07262733610717792,0.10696842920316744,super,paired,29
mixed|d0200e0800h0000,0.5,0.2,0.8,0.0,-1.8634774360659068,0.03308361860583039,0.02096234190000218,0.04677492961147234,super,paired,31
mixed|d0400e0000h0600,0.0,0.4,0.0,0.6,0.4299065456814035,-0.007450360050053863,-0.02009356083367925,0.005292896341767197,linear,paired,28
mixed|d0400e0000h0600,0.17,0.4,0.0,0.6,0.016145037734699906,-0.00027378285693565864,-0.013498247347022619,0.012307665578209961,linear,paired,29
mixed|d0400e0000h0600,0.28,0.4,0.0,0.6,0.734299323367941,-0.012507917551751624,-0.0270297254155392,0.000727060342307928,linear,paired,28
mixed|d0400e0000h0600,0.5,0.4,0.0,0.6,-0.054931059002350215,0.0009621821263826454,-0.00811342300134712,0.01108754584925665,linear,paired,30
mixed|d0400e0200h0400,0.0,0.4,0.2,0.4,0.25358729484577225,-0.004466975475021213,-0.018992769577088436,0.01128582956909912,linear,paired,28
mixed|d0400e0200h0400,0.17,0.4,0.2,0.4,-2.539377943648922,0.0439204329720365,0.030518765431851728,0.05813236751563765,super,paired,27
mixed|d0400e0200h0400,0.28,0.4,0.2,0.4,-1.965884227639986,0.0340870420359744,0.019747636747642062,0.04815318443548974,super,paired,28
mixed|d0400e0200h0400,0.5,0.4,0.2,0.4,-0.47224345632198983,0.008308671736387496,-0.0037678972066472276,0.020926567275520176,linear,paired,28
mixed|d0400e0400h0200,0.0,0.4,0.4,0.2,0.1541231222122811,-0.0027588182257695638,-0.01348269608236277,0.009388989116981546,linear,paired,27
mixed|d0400e0400h0200,0.17,0.4,0.4,0.2,-4.317855639184269,0.07614011797042353,0.06574336866472819,0.08699127044109578,super,paired,28
mixed|d0400e0400h0200,0.28,0.4,0.4,0.2,-4.209433502071356,0.07427449497338658,0.0627560666574083,0.08545844144408343,super,paired,28
mixed|d0400e0400h0200,0.5,0.4,0.4,0.2,-0.5333318312848205,0.009424991974879005,-0.002380621435931404,0.020299221050872687,linear,paired,27
mixed|d0400e0600h0000,0.0,0.4,0.6,0.0,-1.1941748371754326,0.021716125483041956,0.005920309843014639,0.036891135002582065,super,paired,29
mixed|d0400e0600h0000,0.17,0.4,0.6,0.0,-6.002706673012822,0.10787953910195168,0.09117518183023764,0.1242480108956334,super,paired,27
mixed|d0400e0600h0000,0.28,0.4,0.6,0.0,-5.2081324708334495,0.09348728809447794,0.07470893019379987,0.11098475468853386,super,paired,26
mixed|d0400e0600h0000,0.5,0.4,0.6,0.0,-2.05568255124645,0.03648790547013062,0.020668429717255028,0.053096187238107904,super,paired,28
mixed|d0600e0000h0400,0.0,0.6,0.0,0.4,0.14134165719188946,-0.0024563219207014986,-0.021904336131151902,0.015553957186328406,linear,paired,28
mixed|d0600e0000h0400,0.17,0.6,0.0,0.4,-0.5704732842483619,0.009695678538147203,-0.002898734324683702,0.022304738924015792,linear,paired,29
mixed|d0600e0000h0400,0.28,0.6,0.0,0.4,0.5645593692325388,-0.009658179128407671,-0.027848687931749154,0.0075845818122685675,linear,paired,28
mixed|d0600e0000h0400,0.5,0.6,0.0,0.4,-0.08268757148456597,0.0014544842924340998,-0.01018894068349411,0.014532253017831101,linear,paired,31
mixed|d0600e0400h0000,0.0,0.6,0.4,0.0,-1.0015855421168167,0.017976978692281542,0.004697581226331657,0.03045933312380465,super,paired,26
mixed|d0600e0400h0000,0.17,0.6,0.4,0.0,-4.02211727849709,0.0710785401433691,0.05915727633907622,0.08247051376111213,super,paired,27
mixed|d0600e0400h0000,0.28,0.6,0.4,0.0,-3.352607266444981,0.059402913545327694,0.043754617384004,0.07454908302713908,super,paired,25
mixed|d0600e0400h0000,0.5,0.6,0.4,0.0,-1.1813384992883849,0.020963859402994077,0.0017332584174486049,0.03843158877288523,super,paired,27
mixed|d0800e0000h0200,0.0,0.8,0.0,0.2,-0.18099871791960567,0.003154271940653859,-0.011997536972007974,0.018049943247109495,linear,paired,29
mixed|d0800e0000h0200,0.17,0.8,0.0,0.2,-0.21641283529902228,0.003686374347597872,-0.012809959073775424,0.017988335485641497,linear,paired,29
mixed|d0800e0000h0200,0.28,0.8,0.0,0.2,0.30469588120264346,-0.005235014942362288,-0.020366161446539903,0.01217249444697699,linear,paired,27
mixed|d0800e0000h0200,0.5,0.8,0.0,0.2,-0.5857109326041073,0.010346034912554643,-0.004229729890997487,0.02651835618307045,linear,paired,30
mixed|d0800e0200h0000,0.0,0.8,0.2,0.0,-1.0422629883931591,0.018460555965600565,0.007374615695705697,0.028945973393884966,super,paired,28
mixed|d0800e0200h0000,0.17,0.8,0.2,0.0,-1.5656769764548562,0.02719898237945757,0.014618538418014658,0.03902470439826727,super,paired,30
mixed|d0800e0200h0000,0.28,0.8,0.2,0.0,-2.1210592086776763,0.03709010193528173,0.022884825506305766,0.05098345162218658,super,paired,28
mixed|d0800e0200h0000,0.5,0.8,0.2,0.0,-0.833475602629098,0.014787465604109552,0.000697757167287819,0.028351673555267937,super,paired,31
mixed|d0000e0100h0900,0.0,0.0,0.1,0.9,1.933946641884024,-0.03360388378265266,-0.04971050888766388,-0.018204313429291873,sub,paired,24
mixed|d0000e0100h0900,0.17,0.0,0.1,0.9,-1.3525427780262584,0.02306145643073841,0.007381805304308747,0.03924045289756146,super,paired,23
mixed|d0000e0100h0900,0.28,0.0,0.1,0.9,-1.2374114817436255,0.02108456525808324,0.004551893152938291,0.03810014747593993,super,paired,19
mixed|d0000e0100h0900,0.5,0.0,0.1,0.9,-1.0294289040941793,0.01791949868787653,0.003006617331436784,0.03087867060231217,super,paired,24
mixed|d0000e0300h0700,0.0,0.0,0.3,0.7,0.9651024762147007,-0.017044444189457556,-0.03332202768638691,-0.0005527968022388104,sub,paired,27
mixed|d0000e0300h0700,0.17,0.0,0.3,0.7,-1.8400182226478667,0.031995121267685715,0.011666039240063666,0.05036298819397346,super,paired,23
mixed|d0000e0300h0700,0.28,0.0,0.3,0.7,-2.3531911534093983,0.04081546704466873,0.024328282273716927,0.0566024789353919,super,paired,24
mixed|d0000e0300h0700,0.5,0.0,0.3,0.7,-0.44707068142684114,0.007817071004294138,-0.005917179244651243,0.021509203687940553,linear,paired,28
mixed|d0000e0500h0500,0.0,0.0,0.5,0.5,-1.4272429075180264,0.025612894366443033,0.009609756960106967,0.04298588254108073,super,paired,18
mixed|d0000e0500h0500,0.17,0.0,0.5,0.5,-1.328161603088974,0.02354367813651521,0.007368020814367087,0.040837672670098295,super,paired,20
mixed|d0000e0500h0500,0.28,0.0,0.5,0.5,-3.521932115645832,0.06216284223886291,0.04852195010248764,0.0744600908250084,super,paired,26
mixed|d0000e0500h0500,0.5,0.0,0.5,0.5,-1.3223141240034542,0.023223745281463,0.007727504104007099,0.04007732420870655,super,paired,24
mixed|d0000e0700h0300,0.0,0.0,0.7,0.3,-1.1655990091642991,0.02124964955968986,0.001364179414014819,0.03958895710358447,super,paired,23
mixed|d0000e0700h0300,0.17,0.0,0.7,0.3,-0.7340026508934246,0.013259428827958867,-0.013400334475480252,0.0394211315857881,linear,paired,18
mixed|d0000e0700h0300,0.28,0.0,0.7,0.3,-1.3985481262626656,0.025111896134504708,0.005282123951973094,0.04598810080535824,super,paired,26
mixed|d0000e0700h0300,0.5,0.0,0.7,0.3,-1.0060619608627501,0.017747760956444678,0.002030698232125964,0.03254159560886893,super,paired,28
mixed|d0000e0750h0250,0.0,0.0,0.75,0.25,-1.6712877764773728,0.03058775402428059,0.01077658850904284,0.05045279163932648,super,paired,24
mixed|d0000e0750h0250,0.17,0.0,0.75,0.25,-0.6021675271154984,0.010928774922873072,-0.005841942680076119,0.030301509956751033,linear,paired,27
mixed|d0000e0750h0250,0.28,0.0,0.75,0.25,-1.7668062251992087,0.031859155018461705,0.007941861533201762,0.05491547938120327,super,paired,22
mixed|d0000e0750h0250,0.5,0.0,0.75,0.25,-1.3239929879564034,0.023382099631798787,0.005242266641974366,0.04075136476412913,super,paired,30
mixed|d0000e0850h0150,0.0,0.0,0.85,0.15,-0.818616250280701,0.015098872715355625,-0.00708293435894887,0.0376149866439287,linear,paired,21
mixed|d0000e0850h0150,0.17,0.0,0.85,0.15,-1.0048190322910318,0.01840635374000086,-0.00247878600010714,0.0422710826980016,linear,paired,20
mixed|d0000e0850h0150,0.28,0.0,0.85,0.15,-0.6846617230087108,0.012450435981802288,-0.008283523981431713,0.03419005101307151,linear,paired,24
mixed|d0000e0850h0150,0.5,0.0,0.85,0.15,-0.013347693591370518,0.0002362438044204184,-0.016883580267817288,0.020038857327834007,linear,paired,26
mixed|d0000e0900h0100,0.0,0.0,0.9,0.1,-0.8087853647683991,0.014975164725275786,-0.009251015988607796,0.0378979672900119,linear,paired,23
mixed|d0000e0900h0100,0.17,0.0,0.9,0.1,0.9509197527302621,-0.017499383677963866,-0.04306978295278873,0.009671744246936557,linear,paired,20
mixed|d0000e0900h0100,0.28,0.0,0.9,0.1,-0.8228946258650358,0.01502701791599573,-0.00979806023902201,0.03837233919671105,linear,paired,21
mixed|d0000e0900h0100,0.5,0.0,0.9,0.1,-1.0970731188683915,0.019438698034553992,-0.005677386526102627,0.046431839533552725,linear,paired,24
mixed|d0050e0750h0200,0.0,0.05,0.75,0.2,-1.5903015436902288,0.029124805088450906,0.008713772624446482,0.05189399551837823,super,paired,23
mixed|d0050e0750h0200,0.17,0.05,0.75,0.2,-1.1512337507258603,0.02090478836615411,0.0002549648323096998,0.04137730477190946,super,paired,23
mixed|d0050e0750h0200,0.28,0.05,0.75,0.2,-2.6292456430474083,0.04745912545795567,0.018876360903308034,0.07596292470570647,super,paired,19
mixed|d0050e0750h0200,0.5,0.05,0.75,0.2,-1.2847811817342283,0.022713358023771092,0.005815815057681435,0.038311984059145994,super,paired,25
mixed|d0050e0800h0150,0.0,0.05,0.8,0.15,-0.8768454905834274,0.016121025925329747,-0.0020010495846861823,0.03340116208534812,linear,paired,25
mixed|d0050e0800h0150,0.17,0.05,0.8,0.15,-0.7123341704985502,0.01299518684875004,-0.0046678264208211,0.029554437035635414,linear,paired,23
mixed|d0050e0800h0150,0.28,0.05,0.8,0.15,-1.4342578092748814,0.02599856482033815,0.006759654690853171,0.04731127600641367,super,paired,21
mixed|d0050e0800h0150,0.5,0.05,0.8,0.15,-1.586164343982895,0.028072320580846542,0.010222463080642537,0.047638462478634395,super,paired,27
mixed|d0100e0000h0900,0.0,0.1,0.0,0.9,0.09411919672437898,-0.0016242661691252354,-0.022575538947491394,0.01950280592358928,linear,paired,23
mixed|d0100e0000h0900,0.17,0.1,0.0,0.9,-0.37813183753066765,0.006390616312394232,-0.0074355983284393155,0.020652034753870358,linear,paired,23
