kind,method,toll,pct,value,ci_lo,ci_hi,n,mode
toll_gap,habit,0.28,-34.96176414512794,-0.039593790358620234,-0.06720070137460571,-0.013916023251322393,18,paired
toll_gap,habit,0.5,18.92232867358858,0.021429316652586013,0.004070440918035221,0.039327883036937954,22,paired
toll_direct,habit,0.17,-1.8955380103516197,0.03266643231566412,0.019136745042711557,0.04677305115484097,32,paired
toll_direct,habit,0.28,-1.85377937745413,0.03194679200895907,0.017509668380985947,0.04793284412836687,30,paired
toll_direct,habit,0.5,1.1266917349315497,-0.019416650628352405,-0.030395553128247915,-0.00882748198273391,32,paired
second_best_toll,habit,0.17,-1.8955380103516197,0.03266643231566412,0.01823201990430173,0.04616793847624238,32,paired
selfishness_gap,mixed|d0000e0100h0900,0.0,109.35279819453261,1.093527981945326,1.0820936241083363,1.1047453877989424,25,paired
selfishness_gap_vs_so,mixed|d0000e0100h0900,0.0,9.362014022011657,-0.15073630661844575,-0.16731077279281614,-0.1334190869469899,25,paired
selfishness_gap,mixed|d0000e0100h0900,0.17,104.25755979652757,1.0425755979652758,1.0305962830773623,1.0542010351682094,22,paired
selfishness_gap_vs_so,mixed|d0000e0100h0900,0.17,4.261360779406228,-0.06876939060257534,-0.08532763493468533,-0.049719814393989425,22,paired
selfishness_gap,mixed|d0000e0100h0900,0.28,104.09931100872257,1.0409931100872256,1.0305249674850496,1.0507685227420345,18,paired
selfishness_gap_vs_so,mixed|d0000e0100h0900,0.28,4.095268226268614,-0.06605285125904563,-0.08057557513264857,-0.04958428946199945,18,paired
selfishness_gap,mixed|d0000e0100h0900,0.5,108.00322362854142,1.0800322362854142,1.07065926411268,1.0892353440232134,27,paired
selfishness_gap_vs_so,mixed|d0000e0100h0900,0.5,7.964464104662406,-0.12813472811669635,-0.14209586126520832,-0.11446594050628064,27,paired
toll_gap,mixed|d0000e0100h0900,0.17,-51.999463255674975,-0.0817885336590169,-0.11402591582497094,-0.054631373914397104,15,paired
toll_gap,mixed|d0000e0100h0900,0.28,-64.62399753977935,-0.10164531837519752,-0.1397168615808606,-0.06399720672733233,10,paired
toll_gap,mixed|d0000e0100h0900,0.5,-11.137635910858,-0.01751808292901312,-0.048616308888340766,0.019634342406978388,16,paired
toll_direct,mixed|d0000e0100h0900,0.17,-4.833479597191766,0.08542553816802115,0.06742786931596567,0.10196348615480898,23,paired
toll_direct,mixed|d0000e0100h0900,0.28,-5.119222895989595,0.09047568363504499,0.06818822029740083,0.10938136775233927,17,paired
toll_direct,mixed|d0000e0100h0900,0.5,-2.326719143910624,0.04112176973910928,0.020914228969737984,0.060596584278921936,23,paired
second_best_toll,mixed|d0000e0100h0900,0.28,-5.119222895989595,0.09047568363504499,0.07049963317003856,0.11032079699069655,17,paired
selfishness_gap,mixed|d0000e0200h0800,0.0,110.0396218313991,1.100396218313991,1.0918158995114833,1.1090306177636793,27,paired
selfishness_gap_vs_so,mixed|d0000e0200h0800,0.0,10.050904788282008,-0.16182802785780692,-0.17435954752659602,-0.14680524065311518,27,paired
